"","COMPANY","X","JOB_ID","JOB_FUNCTION","JOB_REGION","JOB_IMPRESSIONS","JOB_VIEWS","JOB_APPLICATIONS","HIRED_THREEMONTHS","EMPLOYED_ONEYEAR"
"1","Company_ABC","1/1/2018",4022,"Marketing","Asia Pacific","56214","962",229,1,0
"2","Company_ABC","1/2/2018",6211,"Operations","Latin America",NA,"776",251,0,0
"3","Company_ABC","1/3/2018",4538,"Engineering","Europe","49195","962",278,1,1
"4","Company_ABC","1/4/2018",2583,"Finance","Asia Pacific","17326","1476",137,0,0
"5","Company_ABC","1/5/2018",3266,"Operations","North America","51497","558",104,1,1
"6","Company_ABC","1/6/2018",6335,"Sales","Europe","74599","1092",223,1,1
"7","Company_ABC","1/7/2018",1297,"Finance","Asia Pacific","11492","818",244,0,0
"8","Company_ABC","1/8/2018",1742,"Finance","Europe","37492","635",197,0,0
"9","Company_ABC","1/9/2018",1924,"IT","Latin America","10937","1006",220,1,0
"10","Company_ABC","1/10/2018",3015,"Sales","Latin America","34240","673",217,1,0
"11","Company_ABC","1/11/2018",4384,"Human Resources","North America","28357","615",246,1,0
"12","Company_ABC","1/12/2018",2417,"Operations","North America","27348","1070",299,1,0
"13","Company_ABC","1/13/2018",1740,"Human Resources","Asia Pacific","17372","795",116,0,0
"14","Company_ABC","1/14/2018",6120,"Engineering","Asia Pacific","44754","702",115,0,0
"15","Company_ABC","1/15/2018",2021,"Operations","Europe","10609","1026",136,1,0
"16","Company_ABC","1/16/2018",6728,"Operations","Asia Pacific","36316","1239",204,1,0
"17","Company_ABC","1/17/2018",4926,"Operations","Asia Pacific","41556","n.a.",184,1,0
"18","Company_ABC","1/18/2018",4565,"Finance","North America","76326","513",281,1,1
"19","Company_ABC","1/19/2018",2313,"Sales","North America","16372","1174",206,0,0
"20","Company_ABC","1/20/2018",6001,"Human Resources","Asia","18515","911",202,0,0
"21","Company_ABC","1/21/2018",1689,"Sales","Latin America","71726","1109",224,1,1
"22","Company_ABC","1/22/2018",2828,"Support","North America","21618","637",197,0,0
"23","Company_ABC","1/23/2018",6817,"IT","Asia Pacific","32515","1064",247,0,0
"24","Company_ABC","1/24/2018",1696,"Human Resources","North America","16536","565",271,1,0
"25","Company_ABC","1/25/2018",4697,"Human Resources","North America",NA,"833",242,1,1
"26","Company_ABC","1/26/2018",6940,"Engineering","Europe","33536","1099",234,1,0
"27","Company_ABC","1/27/2018",2789,"Operations","Europe","60611","843",214,0,0
"28","Company_ABC","1/28/2018",2033,NA,"Asia Pacific",NA,"649",158,0,0
"29","Company_ABC","1/29/2018",2205,"Human Resources","Latin America","48586","1411",202,1,0
"30","Company_ABC","1/30/2018",1547,"IT","Asia Pacific","13055","1015",275,1,0
"31","Company_ABC","1/31/2018",1763,"Human Resources","North America","32396","1251",289,0,0
"32","Company_ABC","1/1/2018",6029,"Marketing","Europe","53004","1152",177,1,1
"33","Company_ABC","1/2/2018",1866,"Engineering","North America","61482","1310",137,0,0
"34","Company_ABC","1/3/2018",5233,"Sales","Europe","10780","1253",288,0,0
