"","day","date","daily","line","type","number"
"1","Monday",2010-01-11,952,"orange","Boardings",877
"2","Tuesday",2010-01-12,796,"orange","Boardings",777
"3","Wednesday",2010-01-13,1211.5,"orange","Boardings",1203
"4","Thursday",2010-01-14,1213.5,"orange","Boardings",1194
"5","Friday",2010-01-15,1644,"orange","Boardings",1645
"6","Saturday",2010-01-16,1490.5,"orange","Boardings",1457
"7","Sunday",2010-01-17,888.5,"orange","Boardings",839
"8","Monday",2010-01-18,999.5,"orange","Boardings",999
"9","Tuesday",2010-01-19,1035,"orange","Boardings",1023
"10","Wednesday",2010-01-20,1395.5,"orange","Boardings",1375
"11","Thursday",2010-01-21,1305,"orange","Boardings",1303
"12","Friday",2010-01-22,1394.5,"orange","Boardings",1401
"13","Saturday",2010-01-23,1206,"orange","Boardings",1202
"14","Sunday",2010-01-24,713,"orange","Boardings",715
"15","Monday",2010-01-25,1295,"orange","Boardings",1276
"16","Tuesday",2010-01-26,1429.5,"orange","Boardings",1436
"17","Wednesday",2010-01-27,1288.5,"orange","Boardings",1256
"18","Thursday",2010-01-28,1239,"orange","Boardings",1246
"19","Friday",2010-01-29,1332,"orange","Boardings",1342
"20","Saturday",2010-01-30,581.5,"orange","Boardings",564
"21","Sunday",2010-01-31,683.5,"orange","Boardings",664
"22","Monday",2010-02-01,1395.5,"orange","Boardings",1397
"23","Tuesday",2010-02-02,1436.5,"orange","Boardings",1437
"24","Wednesday",2010-02-03,1368,"orange","Boardings",1396
"25","Thursday",2010-02-04,1339.5,"orange","Boardings",1342
"26","Friday",2010-02-05,1217.5,"orange","Boardings",1231
"27","Saturday",2010-02-06,0,"orange","Boardings",NA
"28","Sunday",2010-02-07,0,"orange","Boardings",NA
"29","Monday",2010-02-08,284,"orange","Boardings",279
"30","Tuesday",2010-02-09,849.5,"orange","Boardings",832
"31","Wednesday",2010-02-10,0,"orange","Boardings",NA
"32","Thursday",2010-02-11,0,"orange","Boardings",NA
"33","Friday",2010-02-12,671,"orange","Boardings",664
"34","Saturday",2010-02-13,700.5,"orange","Boardings",690
"35","Sunday",2010-02-14,543.5,"orange","Boardings",542
"36","Monday",2010-02-15,751.5,"orange","Boardings",752
"37","Tuesday",2010-02-16,791,"orange","Boardings",774
"38","Wednesday",2010-02-17,993.5,"orange","Boardings",965
"39","Thursday",2010-02-18,1126,"orange","Boardings",1116
"40","Friday",2010-02-19,1642,"orange","Boardings",1637
"41","Saturday",2010-02-20,893.5,"orange","Boardings",889
"42","Sunday",2010-02-21,739,"orange","Boardings",725
"43","Monday",2010-02-22,997.5,"orange","Boardings",954
"44","Tuesday",2010-02-23,998,"orange","Boardings",987
"45","Wednesday",2010-02-24,1219,"orange","Boardings",1228
"46","Thursday",2010-02-25,1429.5,"orange","Boardings",1438
"47","Friday",2010-02-26,1328.5,"orange","Boardings",1344
"48","Saturday",2010-02-27,1252.5,"orange","Boardings",1246
"49","Sunday",2010-02-28,955.5,"orange","Boardings",953
"50","Monday",2010-03-01,1511,"orange","Boardings",1528
"51","Tuesday",2010-03-02,1498.5,"orange","Boardings",1505
"52","Wednesday",2010-03-03,1464.5,"orange","Boardings",1456
